metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.00231,0.63214,0.21875,0.10315,0.01373,16.69479,1.28545,0,1720019297,,False,1,d44cc_00006,2024-07-03_15-08-17,41.53086256980896,41.53086256980896,23979,b70a672424f1,172.17.0.3,41.53086256980896,1
0.00253,0.67976,0.26865,0.14088,0.01278,16.03343,1.24824,1,1720019317,,False,2,d44cc_00006,2024-07-03_15-08-37,19.36573338508606,60.89659595489502,23979,b70a672424f1,172.17.0.3,60.89659595489502,2
0.00199,0.55952,0.11902,0.09046,0.01561,15.3666,1.3652,2,1720019331,,False,3,d44cc_00006,2024-07-03_15-08-51,13.882896661758423,74.77949261665344,23979,b70a672424f1,172.17.0.3,74.77949261665344,3
0.86222,0.06733,0.22833,0.10794,0.01523,14.17812,1.37923,3,1720019365,,False,4,d44cc_00006,2024-07-03_15-09-25,34.7009973526001,109.48048996925354,23979,b70a672424f1,172.17.0.3,109.48048996925354,4
0.35622,0.04762,0.22813,0.07981,0.02118,14.0934,1.92838,4,1720019493,,False,5,d44cc_00006,2024-07-03_15-11-33,127.50057029724121,236.98106026649475,23979,b70a672424f1,172.17.0.3,236.98106026649475,5
0.18504,0.46071,0.20954,0.10106,0.01763,12.59752,1.58496,5,1720019508,,False,6,d44cc_00006,2024-07-03_15-11-48,15.103670835494995,252.08473110198975,23979,b70a672424f1,172.17.0.3,252.08473110198975,6
0.3543,0.71071,0.35769,0.11305,0.01849,12.12178,1.6263,6,1720019516,,False,7,d44cc_00006,2024-07-03_15-11-56,7.67072868347168,259.7554597854614,23979,b70a672424f1,172.17.0.3,259.7554597854614,7
0.41144,0.60227,0.48627,0.26036,0.01601,9.01163,1.42603,7,1720019522,,False,8,d44cc_00006,2024-07-03_15-12-02,6.684600830078125,266.44006061553955,23979,b70a672424f1,172.17.0.3,266.44006061553955,8
0.61336,0.54286,0.55607,0.26527,0.0168,8.45073,1.52163,8,1720019711,,False,9,d44cc_00006,2024-07-03_15-15-11,188.28422021865845,454.724280834198,23979,b70a672424f1,172.17.0.3,454.724280834198,9
0.474,0.56002,0.46147,0.20699,0.01813,10.22845,1.6682,9,1720019714,,False,10,d44cc_00006,2024-07-03_15-15-14,3.5408236980438232,458.2651045322418,23979,b70a672424f1,172.17.0.3,458.2651045322418,10
0.54965,0.7411,0.63502,0.3133,0.01655,8.35314,1.40102,10,1720019882,,True,11,d44cc_00006,2024-07-03_15-18-02,167.7266743183136,625.9917788505554,23979,b70a672424f1,172.17.0.3,625.9917788505554,11
