metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.00266,0.74929,0.00626,0.00199,0.02568,19.98648,1.38509,0,1720153604,,False,1,15aff_00007,2024-07-05_04-26-44,67.6445620059967,67.6445620059967,6854,b70a672424f1,172.17.0.3,67.6445620059967,1
0.00268,0.74786,0.02661,0.0063,0.03225,20.03052,1.53874,1,1720153610,,False,2,15aff_00007,2024-07-05_04-26-50,6.024379253387451,73.66894125938416,6854,b70a672424f1,172.17.0.3,73.66894125938416,2
0.00313,0.88746,0.143,0.03285,0.03426,18.42257,1.6318,2,1720153612,,False,3,15aff_00007,2024-07-05_04-26-52,2.417836904525757,76.08677816390991,6854,b70a672424f1,172.17.0.3,76.08677816390991,3
0.00257,0.72365,0.01299,0.00286,0.03613,17.9085,1.88399,3,1720153615,,False,4,15aff_00007,2024-07-05_04-26-55,2.3779261112213135,78.46470427513123,6854,b70a672424f1,172.17.0.3,78.46470427513123,4
0.00166,0.45584,0.00269,0.00085,0.03517,23.41769,1.65852,4,1720153617,,False,5,15aff_00007,2024-07-05_04-26-57,2.2508411407470703,80.7155454158783,6854,b70a672424f1,172.17.0.3,80.7155454158783,5
0.304,0.19088,0.21109,0.07134,0.03412,13.85198,1.45748,5,1720153619,,False,6,15aff_00007,2024-07-05_04-26-59,2.3544042110443115,83.06994962692261,6854,b70a672424f1,172.17.0.3,83.06994962692261,6
0.31551,0.28231,0.26701,0.10694,0.03426,21.57337,1.67346,6,1720153628,,False,7,15aff_00007,2024-07-05_04-27-08,8.855238437652588,91.9251880645752,6854,b70a672424f1,172.17.0.3,91.9251880645752,7
0.46769,0.41595,0.34001,0.07848,0.03429,29.73763,1.81407,7,1720153630,,False,8,15aff_00007,2024-07-05_04-27-10,2.281649112701416,94.20683717727661,6854,b70a672424f1,172.17.0.3,94.20683717727661,8
0.48875,0.08702,0.19642,0.0649,0.03488,18.23849,1.69576,8,1720153633,,False,9,15aff_00007,2024-07-05_04-27-13,2.1917684078216553,96.39860558509827,6854,b70a672424f1,172.17.0.3,96.39860558509827,9
0.41955,0.52849,0.39568,0.12633,0.03561,11.63544,1.69508,9,1720153635,,False,10,15aff_00007,2024-07-05_04-27-15,2.2490315437316895,98.64763712882996,6854,b70a672424f1,172.17.0.3,98.64763712882996,10
0.17986,0.42877,0.15788,0.03426,0.0419,15.54647,2.12096,10,1720153637,,True,11,15aff_00007,2024-07-05_04-27-17,2.149711847305298,100.79734897613525,6854,b70a672424f1,172.17.0.3,100.79734897613525,11
