metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.00207,0.57143,0.06247,0.01906,0.03813,33.55834,1.60534,0,1720020273,,False,1,d44cc_00008,2024-07-03_15-24-33,388.90536975860596,388.90536975860596,30948,b70a672424f1,172.17.0.3,388.90536975860596,1
0.00186,0.5369,0.22523,0.05784,0.04272,31.27715,1.63835,1,1720020276,,False,2,d44cc_00008,2024-07-03_15-24-36,2.7790329456329346,391.6844027042389,30948,b70a672424f1,172.17.0.3,391.6844027042389,2
0.33682,0.4631,0.27036,0.05516,0.0467,29.26075,1.77415,2,1720020279,,False,3,d44cc_00008,2024-07-03_15-24-39,2.7887468338012695,394.47314953804016,30948,b70a672424f1,172.17.0.3,394.47314953804016,3
0.4205,0.12556,0.26341,0.08428,0.04439,29.07242,1.79135,3,1720020281,,False,4,d44cc_00008,2024-07-03_15-24-41,2.617922067642212,397.0910716056824,30948,b70a672424f1,172.17.0.3,397.0910716056824,4
0.29293,0.45,0.22343,0.04925,0.04981,24.18599,2.22279,4,1720020284,,False,5,d44cc_00008,2024-07-03_15-24-44,2.2914013862609863,399.38247299194336,30948,b70a672424f1,172.17.0.3,399.38247299194336,5
0.35502,0.58333,0.41879,0.12255,0.04897,19.43769,2.10755,5,1720020286,,False,6,d44cc_00008,2024-07-03_15-24-46,2.4692955017089844,401.85176849365234,30948,b70a672424f1,172.17.0.3,401.85176849365234,6
0.56318,0.58901,0.63465,0.18823,0.04897,18.95344,1.97297,6,1720020289,,False,7,d44cc_00008,2024-07-03_15-24-49,2.384397029876709,404.23616552352905,30948,b70a672424f1,172.17.0.3,404.23616552352905,7
0.5654,0.36681,0.48675,0.14425,0.05046,41.34892,2.00668,7,1720020291,,False,8,d44cc_00008,2024-07-03_15-24-51,2.2559022903442383,406.4920678138733,30948,b70a672424f1,172.17.0.3,406.4920678138733,8
0.46444,0.33987,0.43143,0.11674,0.05353,31.85935,2.07067,8,1720020293,,False,9,d44cc_00008,2024-07-03_15-24-53,2.3301539421081543,408.82222175598145,30948,b70a672424f1,172.17.0.3,408.82222175598145,9
0.74227,0.27381,0.31298,0.10357,0.05164,47.00392,1.91214,9,1720020296,,False,10,d44cc_00008,2024-07-03_15-24-56,2.297567367553711,411.11978912353516,30948,b70a672424f1,172.17.0.3,411.11978912353516,10
0.30111,0.61786,0.40449,0.0979,0.0547,28.99978,2.16967,10,1720020298,,True,11,d44cc_00008,2024-07-03_15-24-58,2.2758798599243164,413.3956689834595,30948,b70a672424f1,172.17.0.3,413.3956689834595,11
