metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.00167,0.475,0.00845,0.00234,0.0049,2.45519,1.54158,0,1720004189,,False,1,de62f_00009,2024-07-03_10-56-29,26.241310119628906,26.241310119628906,48883,b70a672424f1,172.17.0.3,26.241310119628906,1
0.0018,0.50833,0.09873,0.02334,0.00526,2.34542,1.55859,1,1720004192,,False,2,de62f_00009,2024-07-03_10-56-32,2.529680013656616,28.770990133285522,48883,b70a672424f1,172.17.0.3,28.770990133285522,2
0.0021,0.57917,0.0052,0.00111,0.0059,2.40877,1.86611,2,1720004194,,False,3,de62f_00009,2024-07-03_10-56-34,2.359541416168213,31.130531549453735,48883,b70a672424f1,172.17.0.3,31.130531549453735,3
0.00188,0.52083,0.05331,0.00583,0.00565,2.31543,1.78779,3,1720004219,,False,4,de62f_00009,2024-07-03_10-56-59,24.49652862548828,55.62706017494202,48883,b70a672424f1,172.17.0.3,55.62706017494202,4
0.12342,0.075,0.14965,0.03723,0.00553,1.91125,1.59412,4,1720004221,,False,5,de62f_00009,2024-07-03_10-57-01,2.552736520767212,58.17979669570923,48883,b70a672424f1,172.17.0.3,58.17979669570923,5
0.33162,0.46667,0.32451,0.07261,0.00627,1.66971,1.7935,5,1720004225,,False,6,de62f_00009,2024-07-03_10-57-05,4.174341201782227,62.354137897491455,48883,b70a672424f1,172.17.0.3,62.354137897491455,6
0.42822,0.2375,0.37843,0.10242,0.00589,1.72288,1.64902,6,1720004229,,False,7,de62f_00009,2024-07-03_10-57-09,4.031928062438965,66.38606595993042,48883,b70a672424f1,172.17.0.3,66.38606595993042,7
0.41091,0.74211,0.41424,0.11468,0.00624,1.88693,1.69348,7,1720004232,,False,8,de62f_00009,2024-07-03_10-57-12,2.338599443435669,68.72466540336609,48883,b70a672424f1,172.17.0.3,68.72466540336609,8
0.19855,0.24583,0.14283,0.03392,0.00682,3.37375,2.10503,8,1720004234,,False,9,de62f_00009,2024-07-03_10-57-14,2.344630241394043,71.06929564476013,48883,b70a672424f1,172.17.0.3,71.06929564476013,9
0.27106,0.52505,0.29297,0.06773,0.00666,2.29963,1.95066,9,1720004238,,False,10,de62f_00009,2024-07-03_10-57-18,3.462782382965088,74.53207802772522,48883,b70a672424f1,172.17.0.3,74.53207802772522,10
0.28419,0.4875,0.26813,0.07043,0.00694,1.70072,2.02764,10,1720004240,,True,11,de62f_00009,2024-07-03_10-57-20,2.7167134284973145,77.24879145622253,48883,b70a672424f1,172.17.0.3,77.24879145622253,11
