metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.00196,0.55413,0.02033,0.01287,0.02069,9.17545,1.66286,0,1720062053,,False,1,50bea_00008,2024-07-04_03-00-53,39.98286962509155,39.98286962509155,23189,b70a672424f1,172.17.0.3,39.98286962509155,1
0.00068,0.19516,0.00077,0.00019,0.01756,8.84888,1.4113,1,1720062056,,False,2,50bea_00008,2024-07-04_03-00-56,2.7667014598846436,42.749571084976196,23189,b70a672424f1,172.17.0.3,42.749571084976196,2
0.00138,0.39031,0.00169,0.00055,0.02025,8.72105,1.50339,2,1720062059,,False,3,50bea_00008,2024-07-04_03-00-59,2.8125405311584473,45.562111616134644,23189,b70a672424f1,172.17.0.3,45.562111616134644,3
0.00244,0.67949,0.34279,0.1091,0.0241,7.76529,1.81907,3,1720062061,,False,4,50bea_00008,2024-07-04_03-01-01,2.833204507827759,48.3953161239624,23189,b70a672424f1,172.17.0.3,48.3953161239624,4
0.51844,0.53348,0.55488,0.26958,0.02073,6.17747,1.41809,4,1720062064,,False,5,50bea_00008,2024-07-04_03-01-04,2.689196825027466,51.08451294898987,23189,b70a672424f1,172.17.0.3,51.08451294898987,5
0.51194,0.2037,0.40893,0.17139,0.02244,6.66176,1.49191,5,1720062067,,False,6,50bea_00008,2024-07-04_03-01-07,2.6180920600891113,53.70260500907898,23189,b70a672424f1,172.17.0.3,53.70260500907898,6
0.52259,0.67505,0.51764,0.28898,0.01934,4.70261,1.34746,6,1720062069,,False,7,50bea_00008,2024-07-04_03-01-09,2.506774663925171,56.20937967300415,23189,b70a672424f1,172.17.0.3,56.20937967300415,7
0.46212,0.74217,0.54996,0.28203,0.02051,4.29966,1.40093,7,1720062072,,False,8,50bea_00008,2024-07-04_03-01-12,2.5599496364593506,58.7693293094635,23189,b70a672424f1,172.17.0.3,58.7693293094635,8
0.53821,0.80057,0.62652,0.30918,0.02161,3.88685,1.39707,8,1720062074,,False,9,50bea_00008,2024-07-04_03-01-14,2.489816427230835,61.259145736694336,23189,b70a672424f1,172.17.0.3,61.259145736694336,9
0.41261,0.50133,0.42345,0.14341,0.02486,5.47416,1.69685,9,1720062077,,False,10,50bea_00008,2024-07-04_03-01-17,2.5688252449035645,63.8279709815979,23189,b70a672424f1,172.17.0.3,63.8279709815979,10
0.60722,0.61111,0.56009,0.239,0.02303,4.9863,1.54369,10,1720062080,,True,11,50bea_00008,2024-07-04_03-01-20,2.69307804107666,66.52104902267456,23189,b70a672424f1,172.17.0.3,66.52104902267456,11
