metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.00024,0.06667,0.00013,8e-05,0.00585,2.39856,1.47775,0,1720004069,,False,1,de62f_00005,2024-07-03_10-54-29,26.188556909561157,26.188556909561157,44454,b70a672424f1,172.17.0.3,26.188556909561157,1
0.00289,0.81667,0.08757,0.0282,0.0064,2.19465,1.34338,1,1720004072,,False,2,de62f_00005,2024-07-03_10-54-32,2.400611400604248,28.589168310165405,44454,b70a672424f1,172.17.0.3,28.589168310165405,2
0.0007,0.19583,0.01162,0.00371,0.00586,2.15423,1.3131,2,1720004074,,False,3,de62f_00005,2024-07-03_10-54-34,2.405987024307251,30.995155334472656,44454,b70a672424f1,172.17.0.3,30.995155334472656,3
0.00107,0.30833,0.03296,0.00663,0.00654,2.11263,1.43587,3,1720004076,,False,4,de62f_00005,2024-07-03_10-54-36,2.447375774383545,33.4425311088562,44454,b70a672424f1,172.17.0.3,33.4425311088562,4
0.02166,0.02083,0.0561,0.01764,0.00702,1.94757,1.53283,4,1720004079,,False,5,de62f_00005,2024-07-03_10-54-39,2.3677456378936768,35.81027674674988,44454,b70a672424f1,172.17.0.3,35.81027674674988,5
0.41969,0.38766,0.44726,0.17758,0.00777,1.52018,1.56793,5,1720004081,,False,6,de62f_00005,2024-07-03_10-54-41,2.496939182281494,38.30721592903137,44454,b70a672424f1,172.17.0.3,38.30721592903137,6
0.39907,0.59864,0.41563,0.15244,0.00814,1.52478,1.71911,6,1720004084,,False,7,de62f_00005,2024-07-03_10-54-44,2.200131416320801,40.50734734535217,44454,b70a672424f1,172.17.0.3,40.50734734535217,7
0.31083,0.5302,0.28514,0.10242,0.00801,1.63595,1.69717,7,1720004086,,False,8,de62f_00005,2024-07-03_10-54-46,2.2998898029327393,42.80723714828491,44454,b70a672424f1,172.17.0.3,42.80723714828491,8
0.35952,0.36459,0.28435,0.10356,0.00874,1.95243,1.8123,8,1720004088,,False,9,de62f_00005,2024-07-03_10-54-48,2.266873836517334,45.074110984802246,44454,b70a672424f1,172.17.0.3,45.074110984802246,9
0.32796,0.574,0.31094,0.09606,0.00877,1.59244,1.98776,9,1720004090,,False,10,de62f_00005,2024-07-03_10-54-50,2.239121913909912,47.31323289871216,44454,b70a672424f1,172.17.0.3,47.31323289871216,10
