metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.00038,0.11254,0.01513,0.00447,0.00907,26.55957,1.4414,0,1720152913,,False,1,15aff_00000,2024-07-05_04-15-13,37.13021636009216,37.13021636009216,45045,b70a672424f1,172.17.0.3,37.13021636009216,1
0.00021,0.06268,0.00032,7e-05,0.01022,27.62403,1.81057,1,1720152916,,False,2,15aff_00000,2024-07-05_04-15-16,3.2260749340057373,40.3562912940979,45045,b70a672424f1,172.17.0.3,40.3562912940979,2
0.00073,0.20798,0.00765,0.00082,0.01067,26.65221,1.79412,2,1720152919,,False,3,15aff_00000,2024-07-05_04-15-19,2.9902942180633545,43.346585512161255,45045,b70a672424f1,172.17.0.3,43.346585512161255,3
0.00281,0.80627,0.42954,0.19529,0.01035,21.80593,1.5482,3,1720152922,,False,4,15aff_00000,2024-07-05_04-15-22,2.9409804344177246,46.28756594657898,45045,b70a672424f1,172.17.0.3,46.28756594657898,4
0.28446,0.07342,0.25083,0.05568,0.01214,21.75471,1.97536,4,1720152925,,False,5,15aff_00000,2024-07-05_04-15-25,2.7611069679260254,49.048672914505005,45045,b70a672424f1,172.17.0.3,49.048672914505005,5
0.41875,0.33099,0.35349,0.12288,0.01179,18.63253,2.01801,5,1720152928,,False,6,15aff_00000,2024-07-05_04-15-28,2.8303940296173096,51.879066944122314,45045,b70a672424f1,172.17.0.3,51.879066944122314,6
0.47267,0.7252,0.49806,0.18949,0.01219,14.70396,1.7263,6,1720152931,,False,7,15aff_00000,2024-07-05_04-15-31,2.9289000034332275,54.80796694755554,45045,b70a672424f1,172.17.0.3,54.80796694755554,7
0.46671,0.73495,0.50484,0.18151,0.01146,14.93867,1.83241,7,1720152933,,False,8,15aff_00000,2024-07-05_04-15-33,2.7596871852874756,57.56765413284302,45045,b70a672424f1,172.17.0.3,57.56765413284302,8
0.41919,0.80466,0.48839,0.16329,0.01234,13.75891,1.8284,8,1720152936,,False,9,15aff_00000,2024-07-05_04-15-36,2.7738094329833984,60.341463565826416,45045,b70a672424f1,172.17.0.3,60.341463565826416,9
0.46751,0.72365,0.48875,0.17173,0.01236,12.22439,1.91657,9,1720152939,,False,10,15aff_00000,2024-07-05_04-15-39,2.689595937728882,63.0310595035553,45045,b70a672424f1,172.17.0.3,63.0310595035553,10
